grid_cell,sentiment_mean,sentiment_count,sentiment_std
32.3200_-86.2250,0.04285714285714286,28,0.06900655593423542
32.3200_-86.2300,0.023376623376623374,77,0.05476289537178458
32.3200_-86.2350,0.06044776119402985,67,0.07412996032400851
32.3200_-86.2400,0.06796875,64,0.07986456169219057
32.3200_-86.2450,0.08072519083969465,262,0.07606616936333097
32.3200_-86.2500,0.06859756097560976,164,0.07495509653840858
32.3200_-86.2550,0.061946902654867256,339,0.07396454940564726
32.3200_-86.2600,0.0702755905511811,254,0.07499883289372326
32.3200_-86.2650,0.06367924528301887,212,0.0743161616976758
32.3200_-86.2700,0.07666666666666666,135,0.07526074079144858
32.3200_-86.2800,0.08863636363636364,22,0.07548544196102946
32.3200_-86.2850,0.0631578947368421,228,0.07422214293103653
32.3200_-86.2900,0.0714622641509434,212,0.07509383381685729
32.3200_-86.2950,0.08777777777777777,135,0.08474427437768872
32.3200_-86.3000,0.05357142857142857,42,0.0727448406877759
32.3200_-86.3050,0.075,6,0.08215838362577492
32.3200_-86.3100,0.06891891891891891,37,0.07578418860978352
32.3200_-86.3150,0.06509433962264151,53,0.08581336280891656
32.3200_-86.3200,0.08571428571428572,28,0.07559289460184543
32.3200_-86.3500,0.09,15,0.07606388292556648
32.3200_-86.3700,0.049999999999999996,6,0.07745966692414834
32.3200_-86.3800,0.0375,8,0.06943650748294136
32.3200_-86.3900,0.075,8,0.08017837257372731
32.3200_-86.3950,0.15,2,0.0
32.3200_-86.4450,0.0,1,0.0
32.3250_-86.1250,0.075,2,0.10606601717798213
32.3250_-86.1300,0.03857142857142857,35,0.06651593604467398
32.3250_-86.1350,0.0315,100,0.061404027111049864
32.3250_-86.1400,0.039375,80,0.06641533584529281
32.3250_-86.1450,0.024152542372881357,118,0.05536709305608428
32.3250_-86.1500,0.06543624161073826,149,0.07463861783464079
32.3250_-86.1550,0.045454545454545456,33,0.07000405832391564
32.3250_-86.1600,0.0,4,0.0
32.3250_-86.1650,0.032,75,0.06659681024745205
32.3250_-86.1700,0.004838709677419355,31,0.026940795304016236
32.3250_-86.1750,0.03,10,0.06324555320336758
32.3250_-86.1800,0.03333333333333333,27,0.06354889093022424
32.3250_-86.1850,0.0375,4,0.075
32.3250_-86.1900,0.0375,4,0.07500000000000001
32.3250_-86.1950,0.09,20,0.07539370349250518
32.3250_-86.2000,0.049999999999999996,39,0.0716350399411379
32.3250_-86.2050,0.08181818181818182,55,0.07537783614444091
32.3250_-86.2100,0.038235294117647055,51,0.06602138690918091
32.3250_-86.2150,0.065625,32,0.0756024193161278
32.3250_-86.2250,0.04517374517374517,259,0.06894743479910381
32.3250_-86.2300,0.041999999999999996,75,0.07214849551726914
32.3250_-86.2350,0.043750000000000004,24,0.06964584322313049
32.3250_-86.2400,0.02857142857142857,105,0.05918401180003982
32.3250_-86.2450,0.029640718562874254,167,0.05990848659201481
32.3250_-86.2500,0.056896551724137934,145,0.07303459265401521
32.3250_-86.2550,0.06543624161073826,149,0.07463861783464075
32.3250_-86.2600,0.069140625,128,0.07738875524891436
32.3250_-86.2650,0.058146067415730335,178,0.07500238046117526
32.3250_-86.2700,0.05142857142857142,140,0.07585077577055399
32.3250_-86.2750,0.03893129770992366,131,0.06600992825555103
32.3250_-86.2800,0.046460176991150445,113,0.07249286115077497
32.3250_-86.2850,0.08690987124463519,233,0.07550334279241007
32.3250_-86.2900,0.07330316742081448,221,0.07782523217215041
32.3250_-86.2950,0.08181818181818182,220,0.07485976927589245
32.3250_-86.3000,0.03123393316195373,389,0.060984358990229054
